Average Difference (ms);Minimum Difference (ms);Maximum Difference (ms);Standard Deviation (ms)
1448,161625115;1446,397878;1463,486273;1,921800887900025
1449,943965959;1448,447677;1465,033112;1,556269043297932
1452,114999623;1450,517984;1468,849185;1,5903743560013648
1455,998475842;1454,483326;1470,718887;1,5644417925865726
1457,838263999;1456,145669;1476,504555;1,7618181783469704
1459,9320401129999;1458,350151;1478,425907;1,7089416584241235
1462,0582033740002;1460,501455;1474,446343;1,408927693258675
1465,266150092;1463,464272;1485,591696;2,2370180779436177
1467,0869379990002;1465,448575;1487,532748;1,8456932306581617
1468,783918865;1467,276405;1489,107251;1,1623835703891428
1470,851684148;1469,390658;1486,293419;1,3391185624557849
1473,412008923;1471,920388;1493,442091;1,6491824580394743
1475,360387591;1473,213036;1495,227447;1,927311757350908
1479,102552807;1477,030765;1499,100416;2,544375326650709
